input,output
21 Mart’ta kuzey yarım kürede hangi mevsim başlar?,İlkbahar
21 Mart’ta güney yarım kürede hangi mevsim başlar?,Sonbahar
21 Mart’ta gece ve gündüz süreleri nasıldır?,"Eşittir, 12 saat"
21 Mart’ta güneş ışınları nereye dik düşer?,Ekvatora
21 Mart’ta eksen eğikliği etkisi nasıldır?,Ortadan kalkar
21 Haziran’da kuzey yarım kürede hangi mevsim başlar?,Yaz
21 Haziran’da güney yarım kürede hangi mevsim başlar?,Kış
21 Haziran’da kuzey yarım kürede gün süresi nasıldır?,En uzun gündüz yaşanır
21 Haziran’da güneş ışınları nereye dik gelir?,Yengeç dönencesine
23 Eylül’de kuzey yarım kürede hangi mevsim başlar?,Sonbahar
23 Eylül’de güney yarım kürede hangi mevsim başlar?,İlkbahar
23 Eylül’de gece ve gündüz süreleri nasıldır?,"Eşittir, 12 saat"
23 Eylül’de güneş ışınları nereye dik düşer?,Ekvatora
Yaz mevsimi hangi nedenden dolayı yaşanır?,Daha fazla ışık (enerji) alınması nedeniyle
Kış mevsimi hangi nedenden dolayı yaşanır?,Daha az ışık (enerji) alınması nedeniyle
Birim yüzey arttıkça düşen enerji miktarı nasıl değişir?,Azalır
Kış mevsiminde birim yüzeye düşen enerji nasıldır?,Azalır
Yaz mevsiminde birim yüzeye düşen enerji nasıldır?,Artar
Alan ile düşen enerji miktarı arasındaki ilişki nasıldır?,Ters orantılıdır
Güneş ışınları neden ekvatorda daha fazla enerji verir?,Çünkü dik açıyla düşer
Güneş ışınları neden kutuplarda daha az enerji verir?,Çünkü eğik açıyla düşer
Kış mevsiminde güneş ışınlarının geliş açısı nasıldır?,Eğik
Kış mevsiminde gündüz süresi ve ışın açısı nasıldır?,"Gündüz süresi az, ışınlar eğik açıyla gelir"
Kuzey yarım kürede kış mevsiminde enerji miktarı nasıldır?,Birim alana düşen enerji azdır
Kışın kuzey kutbu neden ışık almaz?,Çünkü güneş ışınları oraya ulaşamaz
Dünya'nın dönme ekseninin eğik olmasının sonucu nedir?,Mevsimler meydana gelir
Dünya’nın eğik ekseni kuzey ve güney yarım küreyi nasıl etkiler?,Farklı mevsimler yaşanır
Dünya’nın eğik ekseni sıcaklığı nasıl etkiler?,Yıl boyunca sıcaklık değişimleri olur
Eksen eğikliği gece ve gündüzü nasıl etkiler?,Süreleri yıl boyunca değişir
Eksen eğikliği güneş ışınlarının geliş açısını nasıl etkiler?,Açıları yıl boyunca değişir
